Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close(Rs.),Trade Volume,Share Volume,Turnover(Rs.)
2018-04-17,67.50,69.30,67.50,68.00,17,1373,93012.00
2018-04-16,68.10,69.30,67.10,67.30,9,1240,83584.00
2018-04-12,68.50,68.90,68.00,68.90,5,470,32118.00
2018-04-11,68.50,68.70,68.00,68.00,13,5264,358139.40
2018-04-10,68.00,68.90,68.00,68.90,14,2766,190332.40
2018-04-09,68.50,68.50,68.00,68.00,5,247,16846.00
2018-04-06,66.90,67.00,66.00,66.00,16,9711,644152.00
2018-04-05,66.90,66.90,66.90,65.10,2,13,869.70
2018-04-04,67.00,67.00,65.00,65.10,19,6659,435512.50
2018-04-03,66.50,67.00,66.50,67.00,4,2150,143975.00
2018-04-02,66.50,67.00,66.00,66.10,15,1260,83344.00
2018-03-29,66.90,67.00,66.90,67.00,11,6480,434060.00
2018-03-28,67.00,67.00,67.00,67.00,3,2650,177550.00
2018-03-27,67.00,67.00,67.00,67.00,1,200,13400.00
2018-03-26,68.20,68.20,66.50,67.00,35,12099,808779.40
2018-03-23,68.50,68.50,68.10,68.10,6,1240,84860.00
2018-03-22,68.90,68.90,68.50,68.50,10,636,43574.40
2018-03-21,69.10,69.90,68.50,68.50,10,3210,219975.60
2018-03-20,71.50,71.50,69.00,69.00,24,9573,664208.60
2018-03-19,72.40,73.00,71.70,73.00,26,6781,492682.10
2018-03-16,72.00,72.40,72.00,72.20,21,11425,825101.60
2018-03-15,72.50,72.50,71.80,72.00,7,364,26188.00
2018-03-14,72.50,72.50,71.80,71.80,15,2990,215146.00
2018-03-13,72.50,72.50,72.50,72.50,9,13119,951127.50
2018-03-12,72.00,72.40,72.00,72.40,17,2327,168200.20
2018-03-09,70.30,72.70,70.30,71.60,49,11560,826126.80
2018-03-08,70.30,70.30,69.90,70.00,20,15930,1115159.90
2018-03-07,70.10,70.40,70.00,70.00,27,25737,1803219.80
2018-03-06,70.00,70.40,70.00,70.10,21,11014,771319.80
2018-03-05,70.40,70.50,70.00,70.00,25,6738,472591.50
2018-03-02,70.00,70.30,70.00,70.00,22,13169,921908.00
2018-02-28,70.10,70.20,69.80,70.00,31,21598,1511846.50
2018-02-27,70.00,70.20,69.80,70.00,45,39714,2779579.40
2018-02-26,72.50,72.50,69.60,70.00,122,161781,11342776.10
2018-02-23,72.20,73.50,72.20,73.40,3,1545,113355.50
2018-02-22,72.20,74.00,72.20,73.90,6,6700,495440.00
2018-02-21,74.10,74.10,74.10,73.30,1,50,3705.00
2018-02-20,70.00,75.90,70.00,73.30,46,25624,1874935.50
2018-02-19,72.60,73.00,70.10,70.50,14,1574,111089.40
2018-02-16,70.60,70.60,70.60,70.60,2,400,28240.00
2018-02-15,71.00,71.10,71.00,71.00,4,2022,143564.20
2018-02-14,70.30,71.00,70.00,70.00,19,12709,889756.90
2018-02-12,71.80,71.80,71.00,71.00,3,1213,86933.40
2018-02-08,72.90,72.90,71.00,71.80,17,4678,336279.90
2018-02-07,73.00,73.00,72.50,72.50,3,1000,72753.00
2018-02-06,72.60,73.50,72.50,72.60,11,1554,113023.40
2018-02-02,73.20,73.50,73.00,73.50,23,20371,1495095.50
2018-01-30,72.80,73.50,72.20,73.10,19,11576,846473.80
2018-01-29,72.40,72.80,72.20,72.30,8,2501,181412.20
2018-01-26,72.00,72.00,71.00,71.00,5,6050,429850.00
2018-01-25,72.40,72.40,71.50,71.50,10,7793,557961.20
2018-01-24,72.00,72.50,71.70,71.90,5,1060,76199.80
2018-01-23,71.70,72.00,71.60,71.60,10,4250,305380.00
2018-01-19,70.90,70.90,70.90,70.90,1,500,35450.00
2018-01-18,70.70,71.90,70.00,70.50,16,20079,1415175.80
2018-01-17,72.00,72.00,69.70,70.50,12,1792,126322.50
2018-01-16,72.70,72.80,72.70,72.80,2,116,8442.90
2018-01-12,71.50,72.00,71.00,72.00,9,834,59649.50
2018-01-10,71.50,72.00,71.10,71.20,7,2405,171625.30
2018-01-09,71.50,72.20,71.50,72.00,7,3020,217180.00
2018-01-08,71.00,72.50,71.00,72.30,10,7120,510950.00
2018-01-05,70.10,71.00,70.10,70.10,10,5050,354062.00
2018-01-04,71.00,71.00,70.10,71.00,11,16700,1185520.00
2018-01-03,70.00,71.00,70.00,71.00,12,11385,808330.00
2018-01-02,71.90,71.90,70.00,70.00,4,1437,101541.90
2017-12-29,70.20,70.20,70.00,70.00,33,23320,1632787.00
2017-12-27,70.00,70.50,70.00,70.10,8,6587,461254.50
2017-12-26,70.00,70.00,70.00,70.00,18,17490,1224300.00
2017-12-22,69.90,70.50,69.90,70.00,6,4012,281330.00
2017-12-21,70.70,70.70,68.00,70.10,24,6772,476317.10
2017-12-19,72.00,72.00,70.70,70.80,9,1022,72353.60
2017-12-18,71.30,71.30,71.00,71.00,2,300,21306.00
